Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:87905000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87905000;1;01/06/2018;;1;1;556.204;60.969;151.071;12;1;1;1;1;0;0;60.969;66.003;70.558;81.492;99.243;90.907;85.057;75.934;71.884;69.242;137.714;556.204;496.214;347.665;276.977;217.066;181.908;156.233;139.517;122.822;114.43;107.112;103.143;121.971;126.256;122.822;118.592;105.516;102.357;106.313;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/05/2018;;1;1;615.744;61.588;169.385;4;31;1;1;1;0;0;82.909;85.057;116.919;615.744;465.827;433.274;397.404;321.951;222.642;190.168;161.031;143.157;128.859;119.433;110.337;99.243;89.428;90.907;107.112;173.816;167.859;135.921;128.859;111.15;99.243;90.166;85.057;77.997;71.22;66.645;61.588;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/04/2018;;1;1;246.77;31.426;86.478;3;20;1;1;1;0;0;75.934;120.276;246.77;190.168;156.233;132.368;106.313;89.428;74.573;67.938;62.835;59.129;57.315;53.184;48.637;44.278;39.601;33.271;32.343;31.426;53.184;107.914;103.143;94.654;112.785;105.516;93.899;67.938;66.003;67.29;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/03/2018;;1;1;140.423;10.538;41.077;26;14;1;1;1;0;0;42.692;41.133;32.806;27.027;22.153;20.255;18.081;16.695;14.712;14.077;12.545;11.955;11.378;10.538;13.764;19.885;23.728;25.353;28.75;29.188;29.188;25.353;21.768;25.353;82.909;140.423;140.423;126.256;101.575;78.69;64.727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/02/2018;;1;1;50.32;13.148;28.725;15;9;1;1;1;0;0;27.027;24.13;21.768;20.255;18.793;17.382;15.36;14.077;13.148;19.885;31.883;37.599;41.133;46.434;50.32;42.169;35.165;30.074;25.353;24.13;24.13;37.106;40.619;35.646;30.074;27.453;21.768;31.426;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
87905000;1;01/01/2018;;1;1;99.243;28.75;49.255;21;31;1;1;1;0;0;56.12;54.937;56.716;69.898;68.588;60.969;54.937;48.637;40.619;35.165;31.426;30.074;29.188;32.343;40.619;41.133;40.619;51.457;72.552;80.787;99.243;74.573;62.21;54.937;44.278;37.599;34.687;32.806;30.973;30.074;28.75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2017;;1;1;99.243;49.195;72.085;1;22;1;1;1;0;0;99.243;93.899;92.398;90.907;89.428;91.651;90.907;89.428;87.23;81.492;72.552;69.898;68.588;65.363;60.969;59.739;57.917;56.12;54.937;53.765;51.457;49.195;49.756;66.645;83.622;81.492;71.884;69.242;66.645;59.739;58.521;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2017;;1;1;467.404;104.722;233.923;10;30;1;1;1;0;0;370.023;303.588;276.977;339.447;464.252;437.858;350.425;323.282;351.809;467.404;358.764;268.358;244.423;211.556;194.361;179.869;169.834;164.917;157.187;155.282;150.564;138.614;131.487;124.534;121.971;117.754;116.087;114.43;107.914;104.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/10/2017;;1;1;2282.717;194.361;966.008;23;10;3;3;3;0;0;354.583;497.837;639.221;494.592;391.565;329.973;308.784;246.77;212.653;194.361;215.959;461.11;1534.126;2186.842;2000.935;1678.412;1342.285;883.825;814.727;1830.745;1852.477;2029.865;2282.717;2153.767;1604.172;745.625;603.258;522.487;556.204;530.825;445.547;;;;;;;;;;;;;;;;;;;;3;3;3;;;3;3;;;;;;
87905000;1;01/09/2017;;1;1;1448.273;147.766;409.649;18;5;1;1;1;0;0;170.826;166.876;161.031;156.233;147.766;157.187;197.534;214.854;215.959;179.869;165.895;156.233;171.82;267.136;717.355;1212.889;1397.681;1448.273;1137.184;695.896;505.993;415.161;351.809;304.883;262.277;268.358;256.261;244.423;242.086;299.718;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
87905000;1;01/08/2017;;1;1;2296.213;88.692;524.296;15;2;1;1;1;0;0;90.166;88.692;105.516;149.629;192.259;200.731;176.831;142.243;137.714;147.766;167.859;215.959;876.817;1905.665;2296.213;2225.701;1815.283;1181.335;695.896;517.513;430.23;354.583;323.282;294.593;263.488;245.595;223.765;212.653;207.194;190.168;177.841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/07/2017;;1;1;256.261;92.398;143.205;3;31;1;1;1;0;0;189.126;222.642;256.261;224.891;182.931;163.941;154.333;146.839;138.614;128.859;121.971;122.822;139.517;153.387;173.816;168.846;148.696;142.243;138.614;136.816;128.859;121.971;117.754;109.527;109.527;106.313;103.143;101.575;98.471;94.654;92.398;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
